-Point(698,304) in cluster: 4
-Point(8,349) in cluster: 2
-Point(733,372) in cluster: 4
-Point(330,581) in cluster: 2
-Point(592,922) in cluster: 0
-Point(409,704) in cluster: 3
-Point(81,874) in cluster: 3
-Point(886,672) in cluster: 0
-Point(757,209) in cluster: 4
-Point(121,408) in cluster: 2
-Point(506,749) in cluster: 3
-Point(900,780) in cluster: 0
-Point(848,527) in cluster: 0
-Point(351,195) in cluster: 1
-Point(286,270) in cluster: 1
-Point(513,898) in cluster: 3
-Point(851,134) in cluster: 4
-Point(71,45) in cluster: 1
-Point(393,994) in cluster: 3
-Point(508,764) in cluster: 3
-Point(442,436) in cluster: 2
-Point(237,237) in cluster: 1
-Point(49,160) in cluster: 1
-Point(949,329) in cluster: 4
-Point(609,826) in cluster: 0
-Point(989,285) in cluster: 4
-Point(749,745) in cluster: 0
-Point(888,290) in cluster: 4
-Point(614,150) in cluster: 4
-Point(746,558) in cluster: 0
-Point(997,498) in cluster: 4
-Point(62,638) in cluster: 2
-Point(906,462) in cluster: 4
-Point(267,240) in cluster: 1
-Point(594,958) in cluster: 0
-Point(110,833) in cluster: 3
-Point(932,250) in cluster: 4
-Point(465,766) in cluster: 3
-Point(578,581) in cluster: 0
-Point(343,261) in cluster: 1
-Point(136,462) in cluster: 2
-Point(798,221) in cluster: 4
-Point(552,725) in cluster: 0
-Point(943,587) in cluster: 0
-Point(537,366) in cluster: 4
-Point(34,61) in cluster: 1
-Point(159,151) in cluster: 1
-Point(517,851) in cluster: 3
-Point(803,962) in cluster: 0
-Point(174,404) in cluster: 2
-Point(644,904) in cluster: 0
-Point(391,978) in cluster: 3
-Point(216,644) in cluster: 2
-Point(476,180) in cluster: 1
-Point(0,98) in cluster: 1
-Point(714,364) in cluster: 4
-Point(283,876) in cluster: 3
-Point(454,928) in cluster: 3
-Point(144,855) in cluster: 3
-Point(815,920) in cluster: 0
-Point(687,224) in cluster: 4
-Point(460,937) in cluster: 3
-Point(325,393) in cluster: 2
-Point(550,802) in cluster: 0
-Point(228,291) in cluster: 1
-Point(922,434) in cluster: 4
-Point(216,646) in cluster: 2
-Point(438,450) in cluster: 2
-Point(779,874) in cluster: 0
-Point(636,492) in cluster: 4
-Point(164,449) in cluster: 2
-Point(60,32) in cluster: 1
-Point(853,666) in cluster: 0
-Point(701,974) in cluster: 0
-Point(741,317) in cluster: 4
-Point(617,707) in cluster: 0
-Point(205,850) in cluster: 3
-Point(301,733) in cluster: 3
-Point(660,947) in cluster: 0
-Point(199,197) in cluster: 1
-Point(905,637) in cluster: 0
-Point(697,947) in cluster: 0
-Point(342,465) in cluster: 2
-Point(323,465) in cluster: 2
-Point(842,998) in cluster: 0
-Point(347,58) in cluster: 1
-Point(333,843) in cluster: 3
-Point(913,409) in cluster: 4
-Point(28,563) in cluster: 2
-Point(799,361) in cluster: 4
-Point(835,264) in cluster: 4
-Point(19,526) in cluster: 2
-Point(241,398) in cluster: 2
-Point(925,710) in cluster: 0
-Point(490,633) in cluster: 3
-Point(363,264) in cluster: 1
-Point(51,231) in cluster: 1
-Point(853,608) in cluster: 0
-Point(884,931) in cluster: 0
-Point(435,55) in cluster: 1
-Point(234,32) in cluster: 1
-Point(259,632) in cluster: 2
-Point(625,734) in cluster: 0
-Point(577,449) in cluster: 4
-Point(861,930) in cluster: 0
-Point(426,973) in cluster: 3
-Point(944,816) in cluster: 0
-Point(158,239) in cluster: 1
-Point(945,536) in cluster: 0
-Point(345,179) in cluster: 1
-Point(420,730) in cluster: 3
-Point(359,58) in cluster: 1
-Point(18,823) in cluster: 3
-Point(464,67) in cluster: 1
-Point(6,104) in cluster: 1
-Point(453,626) in cluster: 2
-Point(842,310) in cluster: 4
-Point(901,691) in cluster: 0
-Point(789,196) in cluster: 4
-Point(375,999) in cluster: 3
-Point(289,508) in cluster: 2
-Point(478,185) in cluster: 1
-Point(540,871) in cluster: 3
-Point(760,675) in cluster: 0
-Point(14,221) in cluster: 1
-Point(670,219) in cluster: 4
-Point(723,818) in cluster: 0
-Point(665,718) in cluster: 0
